,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,y
129,6,8,9,6,6,11,6,2,5,9,3,6,9,7,2,9,0
130,1,1,2,1,1,7,7,12,1,7,6,8,3,8,0,8,0
131,2,1,4,2,1,8,1,2,2,7,2,8,2,5,2,7,0
132,5,10,4,5,3,6,6,6,2,9,6,9,5,9,4,8,1
133,1,0,1,1,1,4,7,5,8,7,6,13,0,8,6,10,0
134,3,3,3,1,1,5,8,5,7,10,9,8,3,10,2,6,0
135,3,7,5,5,3,10,4,1,2,8,3,9,2,4,2,7,0
136,4,8,5,6,3,5,8,1,8,10,9,9,2,9,3,6,0
137,5,8,7,6,4,8,8,4,9,11,3,8,2,6,4,9,0
138,1,3,2,2,1,10,7,1,5,11,4,8,0,7,0,7,0
139,5,11,8,8,5,6,7,2,7,10,7,10,4,8,4,8,0
140,2,6,2,4,1,9,5,0,6,13,5,9,0,8,1,8,0
141,7,11,10,8,6,6,11,3,6,13,6,3,0,10,3,8,0
142,2,1,2,1,0,8,15,1,4,6,10,8,0,8,0,8,0
143,1,1,2,2,1,6,8,6,6,9,7,12,1,9,3,10,0
144,4,9,4,7,4,7,8,13,1,7,5,8,3,8,0,8,0
145,2,4,4,3,2,10,2,2,2,9,2,9,2,7,3,9,0
146,6,11,9,8,11,7,7,3,6,6,7,11,6,11,9,7,0
147,3,6,4,4,3,7,12,4,6,7,11,8,2,12,1,7,0
148,2,8,4,6,2,12,2,4,3,11,2,10,3,6,3,9,0
149,3,9,5,7,3,8,9,4,1,6,12,8,2,10,0,8,0
150,5,7,6,5,5,8,8,8,5,6,7,9,4,8,4,5,0
151,2,9,2,6,3,7,7,0,7,7,6,8,0,8,2,8,0
152,8,14,8,8,5,8,5,2,9,12,6,9,3,7,6,7,0
153,4,7,6,5,6,8,8,4,2,8,7,8,7,11,5,8,0
154,5,9,7,6,7,9,7,5,5,6,7,6,10,7,4,6,0
155,4,8,6,6,4,6,5,2,8,7,2,8,1,6,3,7,0
156,3,3,5,5,2,9,6,9,7,7,5,10,3,8,4,8,1
157,4,2,5,4,4,7,7,5,6,7,6,6,2,8,7,10,0
158,8,15,7,8,4,8,2,3,2,8,5,12,5,4,5,5,0
159,6,9,9,6,7,9,6,1,7,10,3,8,3,7,3,9,0
160,3,7,4,5,4,7,7,5,6,7,6,8,3,8,3,8,0
161,7,9,7,7,5,6,10,1,8,11,9,5,2,9,3,4,0
162,6,5,7,4,4,4,11,2,2,9,9,8,7,11,1,7,0
163,3,8,3,5,1,1,12,4,5,12,11,8,0,8,2,6,0
164,3,3,5,4,1,7,6,3,0,7,0,8,2,7,1,8,0
165,3,8,3,6,3,3,6,5,9,5,4,13,0,8,6,9,0
166,4,9,5,7,4,7,7,12,1,7,9,8,8,6,0,8,0
167,4,9,5,7,6,7,8,9,6,7,6,6,2,8,8,10,0
168,3,7,5,5,6,7,8,6,4,6,6,8,5,8,7,9,0
169,6,9,6,7,4,5,8,0,8,8,9,5,2,11,4,4,0
170,4,9,6,7,3,6,12,3,4,7,12,9,3,10,1,8,0
171,2,8,3,6,3,8,8,7,6,7,4,6,2,7,8,8,0
172,2,1,2,2,1,6,8,7,7,8,7,12,1,9,4,10,0
173,4,9,6,6,8,7,7,6,3,7,6,7,8,7,9,9,0
174,5,8,5,6,4,8,6,11,4,8,13,7,3,9,0,8,0
175,6,10,6,6,4,7,10,5,2,11,5,4,4,11,5,7,0
176,3,8,4,6,2,7,7,4,13,10,6,8,0,8,8,8,0
177,3,4,5,2,2,7,7,2,8,11,7,9,2,8,4,8,0
178,5,9,7,6,4,4,10,3,4,9,10,9,5,8,1,8,0
179,6,10,5,6,3,5,9,6,3,10,5,6,5,9,4,7,0
180,4,5,5,4,4,7,7,6,6,7,6,7,3,8,3,6,0
181,6,11,6,8,5,6,11,3,7,11,9,5,2,12,2,4,0
182,5,5,5,8,4,7,9,10,8,7,5,7,2,8,9,10,0
183,5,10,6,7,2,7,4,14,6,7,15,8,3,9,0,8,0
184,3,4,4,6,2,8,8,6,9,5,5,5,0,8,9,7,0
185,5,6,5,8,2,1,14,5,3,12,9,5,0,8,3,6,0
186,3,9,4,7,4,9,6,1,6,11,4,7,0,6,1,6,0
187,3,6,4,4,4,6,7,5,5,7,6,7,3,7,4,9,0
188,3,2,3,4,3,7,8,5,7,7,5,9,2,8,5,10,0
189,6,9,6,4,4,8,9,5,3,10,5,5,5,10,5,6,0
190,2,2,1,4,1,7,7,1,7,7,6,8,0,8,3,8,0
191,7,10,9,8,9,7,7,5,5,7,6,7,7,6,9,13,0
192,4,10,6,7,4,8,6,8,7,4,5,3,3,8,4,8,0
193,4,7,6,5,7,9,6,4,4,6,6,7,7,8,6,7,0
194,5,10,7,8,6,7,9,8,5,8,5,6,3,7,7,10,0
195,7,10,10,7,7,9,6,2,5,9,5,7,8,6,2,8,0
196,6,11,7,8,3,4,13,9,2,10,6,4,1,10,4,8,0
197,4,8,6,6,4,8,5,8,4,7,5,8,3,8,3,8,1
198,2,8,3,6,3,8,7,7,5,7,6,7,2,9,8,8,0
199,4,7,6,5,4,3,8,3,7,11,11,12,3,8,3,5,0
200,7,10,7,8,3,3,11,4,4,10,12,8,3,10,1,8,0
201,7,11,10,8,5,6,11,2,7,14,7,4,1,10,2,7,0
202,3,4,5,6,1,6,10,3,2,9,13,8,1,11,0,8,0
203,4,6,6,4,3,11,6,3,8,11,3,6,3,8,3,9,0
204,1,0,1,1,0,7,7,2,10,8,6,8,0,8,6,8,0
205,3,5,3,6,3,7,8,6,3,8,8,9,3,8,5,7,0
206,8,14,8,8,4,9,4,4,4,13,5,8,3,10,3,8,0
207,5,7,7,5,6,8,6,5,6,9,6,7,3,9,6,10,0
208,8,13,9,7,5,6,7,3,6,10,8,10,6,10,4,7,0
209,3,10,5,7,2,5,8,5,3,9,14,8,3,10,0,8,0
210,4,7,4,5,3,6,7,9,7,7,6,7,2,8,9,10,0
211,2,2,4,4,2,6,10,1,7,7,11,9,1,11,1,8,0
212,3,4,4,3,2,7,7,7,5,7,6,8,2,8,3,8,1
213,6,10,8,7,5,8,6,3,10,12,4,9,1,7,6,9,0
214,2,3,3,2,1,6,4,1,8,7,2,10,0,7,2,8,0
215,1,3,2,2,1,10,6,2,6,12,4,9,0,7,1,7,0
216,1,3,3,2,1,7,8,1,9,11,7,7,1,8,5,7,0
217,3,5,5,7,2,7,7,3,1,6,0,8,3,7,1,8,0
218,3,5,4,5,3,8,7,4,5,7,6,8,3,8,7,10,0
219,2,5,3,3,1,10,7,1,7,12,3,7,0,7,1,7,0
220,5,6,6,8,5,8,7,6,3,7,7,12,3,8,6,8,0
221,1,3,2,1,1,7,8,5,3,7,7,7,4,8,1,6,0
222,2,6,3,4,1,7,7,3,13,9,6,8,0,8,8,8,0
223,4,9,5,7,3,3,7,6,11,7,6,15,0,8,7,7,0
224,4,7,3,10,3,9,7,3,3,11,4,5,3,8,6,9,0
225,4,8,5,6,3,5,7,10,10,6,5,6,3,8,4,8,0
226,5,10,6,8,5,7,8,9,6,8,8,6,4,8,5,10,1
227,3,6,4,4,2,5,4,3,8,3,2,6,1,6,2,5,0
228,4,5,5,4,2,4,12,4,4,11,11,6,2,10,1,8,0
229,6,10,9,8,6,7,7,0,8,9,6,8,3,8,4,7,0
230,5,8,6,6,3,6,6,4,5,14,8,12,1,6,1,7,0
231,7,10,10,8,5,7,8,3,5,10,6,7,7,8,1,8,0
232,3,5,5,7,4,10,11,3,2,7,8,8,3,10,7,9,0
233,2,7,4,5,3,13,3,3,2,10,1,8,2,6,2,8,0
234,4,6,5,9,9,8,7,5,0,7,6,7,6,10,6,9,0
235,4,9,6,6,2,10,5,3,1,8,1,9,2,7,2,8,0
236,4,8,5,6,3,5,10,4,6,11,10,5,2,10,3,5,0
237,3,4,6,3,2,7,7,1,9,10,6,8,2,8,3,7,0
238,5,11,6,9,4,5,8,11,9,8,7,5,3,8,4,8,0
239,3,7,5,5,3,9,11,2,2,4,10,8,2,12,1,8,0
240,7,10,6,5,4,10,7,4,4,12,4,5,4,11,5,9,0
241,5,9,6,7,6,6,9,4,6,9,9,6,5,9,3,6,0
242,6,11,9,8,5,8,10,7,5,10,4,3,3,10,4,8,0
243,4,10,6,8,2,9,11,0,4,6,11,8,0,10,0,8,0
244,3,3,4,4,2,5,8,4,1,7,9,8,7,10,0,8,0
245,6,9,8,7,5,6,11,7,3,11,5,3,2,10,4,8,0
246,5,6,7,7,6,7,8,4,5,7,7,8,4,6,8,6,0
247,4,2,4,4,3,8,7,6,10,6,5,9,2,8,6,8,0
248,4,8,5,6,3,7,5,6,9,5,6,10,0,9,9,8,0
249,3,7,3,5,2,3,8,6,11,7,5,14,0,8,7,8,0
250,5,9,7,7,6,7,9,5,6,10,6,6,3,8,7,8,0
251,1,9,1,7,1,7,7,0,9,7,6,8,0,8,3,8,0
252,6,8,7,6,4,9,6,4,6,10,3,8,2,8,5,10,0
253,3,8,4,6,3,8,6,8,6,7,8,9,2,10,9,8,0
254,3,7,4,5,2,5,8,6,7,6,8,13,1,8,4,10,0
255,8,10,11,8,9,9,6,2,5,9,4,7,11,9,3,8,0
256,9,10,7,5,3,6,11,6,2,11,5,5,4,10,4,8,0
257,2,4,4,3,3,7,8,4,4,9,5,8,2,6,3,10,0
258,3,8,5,6,6,8,7,4,4,6,7,8,7,9,5,6,0
259,6,6,6,4,3,4,8,5,8,11,11,9,3,9,2,6,0
260,3,8,4,6,2,5,7,10,8,7,7,5,3,8,4,8,0
261,2,1,3,1,1,7,5,11,5,7,14,8,3,10,0,8,0
262,2,5,3,4,2,10,7,2,6,11,3,7,1,6,2,7,0
263,7,13,7,7,5,6,7,2,9,11,6,8,4,5,8,6,0
264,5,11,7,8,6,7,9,3,6,12,7,6,3,9,2,7,0
265,1,0,2,1,0,8,9,4,2,7,12,8,2,10,0,8,0
266,6,5,8,4,7,6,9,5,3,6,4,8,13,8,5,7,0
267,3,6,4,4,1,7,5,13,5,7,13,8,3,9,0,8,0
268,3,7,4,5,5,7,7,4,6,6,6,6,2,8,5,10,0
269,4,8,6,6,4,6,5,1,9,7,2,10,0,6,3,8,0
270,4,10,5,8,3,8,13,0,5,7,10,8,0,8,0,8,0
271,8,12,8,6,4,9,4,4,6,12,3,8,5,6,5,10,0
272,6,11,6,8,4,6,10,1,10,11,9,5,2,8,4,4,0
273,5,8,7,6,4,7,5,8,4,6,4,7,3,9,4,9,1
274,1,0,2,1,0,7,14,1,4,7,10,8,0,8,0,8,0
275,4,3,5,2,2,5,8,5,7,10,10,9,3,9,2,6,0
276,2,4,4,2,2,9,6,4,6,11,4,6,2,8,3,8,0
277,4,8,5,5,3,5,11,8,3,7,4,8,3,7,6,11,0
278,7,10,7,7,5,5,7,7,6,9,8,10,2,9,5,9,0
279,2,1,2,2,1,6,7,8,7,6,6,6,2,8,3,8,0
280,3,8,4,6,4,7,7,7,5,7,6,8,2,8,8,8,0
281,7,10,9,8,10,9,5,5,4,9,6,9,6,9,12,11,0
282,6,10,9,8,8,7,7,2,4,9,7,8,8,6,2,8,0
283,4,8,6,6,8,9,6,2,2,8,4,8,7,7,2,5,0
284,6,7,8,6,6,5,7,6,7,7,4,7,3,6,5,6,0
285,4,9,6,7,4,8,6,2,9,12,5,9,3,6,8,8,0
286,4,9,7,7,5,9,8,4,1,6,9,8,7,11,0,8,0
287,2,1,3,2,1,6,8,6,7,7,8,12,1,9,4,10,0
288,3,6,4,4,4,6,7,3,7,6,6,9,3,8,6,10,0
289,6,9,9,7,5,8,5,7,7,8,6,7,2,6,4,6,0
290,6,9,8,8,8,8,7,3,5,7,8,8,6,8,4,5,0
291,5,12,5,6,4,8,7,3,6,10,5,7,5,8,7,6,0
292,4,8,6,6,4,8,8,8,6,7,6,8,4,7,4,8,0
293,3,4,4,3,1,4,12,3,3,10,11,7,2,11,1,8,0
294,4,7,4,5,2,9,10,6,9,5,6,6,0,7,8,9,0
295,4,9,6,6,4,9,8,1,6,13,5,5,1,10,2,9,0
296,5,10,7,8,5,8,3,3,1,7,1,8,5,9,5,8,0
297,3,2,4,3,3,8,7,5,6,7,6,6,2,8,6,9,0
298,2,3,3,2,2,7,9,5,4,7,6,7,5,9,2,7,0
299,6,10,5,6,3,6,6,4,4,6,7,8,5,5,2,8,0
300,4,10,5,8,5,7,7,5,8,5,6,8,0,8,9,8,0
301,2,5,3,6,3,8,8,7,2,5,7,10,3,9,5,9,0
302,4,8,4,5,1,1,13,5,5,12,11,7,0,8,2,6,0
303,4,9,6,6,5,5,10,4,6,10,10,6,2,10,3,6,0
304,5,10,8,8,4,8,7,4,10,6,6,8,4,6,8,9,0
305,3,7,5,5,3,11,3,2,2,8,2,9,3,4,2,8,0
306,4,9,4,6,3,6,7,9,7,7,6,7,2,8,9,10,0
307,5,9,6,7,5,7,7,8,7,7,6,7,2,8,3,8,1
308,2,6,3,4,1,14,1,6,5,14,2,11,0,7,0,8,0
309,4,8,5,5,2,7,5,15,1,7,9,8,3,8,0,8,0
310,6,9,7,4,3,6,9,5,5,4,4,10,8,7,2,8,0
311,3,7,4,5,2,7,7,0,7,13,6,8,0,8,1,7,0
312,6,10,6,8,6,2,10,2,3,10,9,8,7,11,2,6,0
313,3,6,4,4,3,6,7,8,5,7,5,7,3,7,3,8,0
314,1,3,2,2,1,10,3,2,1,9,2,9,1,6,1,8,0
315,2,3,4,1,1,7,8,2,6,10,5,7,1,8,4,8,0
316,1,0,1,0,0,5,10,6,1,9,6,5,0,9,2,8,0
317,6,9,8,8,8,7,6,5,7,7,5,9,6,5,9,4,0
318,7,9,10,7,6,5,6,4,5,11,10,11,11,5,4,8,0
319,4,8,5,6,5,8,11,3,6,6,11,8,3,12,1,7,0
320,3,6,4,4,2,5,5,1,9,6,2,11,0,8,3,7,0
321,3,6,4,4,1,7,7,4,4,7,6,8,3,8,4,8,0
322,2,4,3,6,2,7,7,8,6,5,7,9,2,7,5,11,0
323,6,10,8,8,5,10,5,4,8,11,3,7,4,6,4,9,0
324,3,4,4,6,2,3,8,6,10,7,6,14,0,8,7,7,0
325,2,3,2,1,1,6,9,6,3,8,7,8,4,9,1,7,0
326,2,4,3,3,2,6,6,6,5,6,6,9,2,8,4,8,0
327,7,10,6,8,3,2,11,5,5,12,12,8,2,10,1,8,0
328,2,7,4,4,2,7,3,3,2,7,2,8,3,7,2,8,0
329,5,9,4,4,2,8,7,4,4,10,5,10,3,8,7,10,0
330,4,5,5,8,2,3,6,7,3,7,8,12,3,8,3,10,0
331,6,9,9,6,6,5,7,3,5,10,10,9,8,6,3,8,0
332,5,11,5,6,3,7,5,3,5,12,7,11,3,8,6,9,0
333,5,6,5,4,2,5,12,3,8,12,9,4,1,11,2,4,0
334,2,4,4,3,2,7,6,6,6,6,6,10,2,9,4,9,0
335,2,4,4,3,1,8,8,2,7,15,5,8,0,7,1,8,0
336,5,10,5,7,2,1,14,5,4,12,10,6,0,8,2,5,0
337,7,8,7,6,6,6,11,5,2,9,6,6,8,13,4,4,0
338,3,6,5,4,3,12,3,2,2,9,2,9,2,6,2,8,0
339,6,11,8,8,5,9,5,1,7,10,3,9,5,9,5,11,0
340,1,1,2,2,1,5,10,4,4,10,8,4,1,9,3,7,0
341,7,6,9,5,9,7,7,5,4,6,5,8,10,8,5,5,0
342,2,6,3,4,2,8,7,7,5,7,6,9,2,8,3,8,1
343,4,11,5,8,3,6,6,6,9,4,6,9,0,9,9,8,0
344,4,6,6,5,5,4,7,3,6,6,6,10,4,10,7,7,0
345,1,0,2,1,0,8,7,6,4,7,6,8,2,8,3,8,1
346,2,1,3,2,1,7,7,5,9,6,6,9,1,8,7,8,0
347,4,9,6,7,6,9,7,3,6,7,4,5,6,6,9,8,0
348,4,4,5,3,3,6,11,5,2,8,7,6,6,11,2,6,0
349,4,9,4,6,5,6,6,8,6,6,6,7,2,8,7,9,0
350,6,11,6,8,4,4,8,5,6,12,10,11,2,10,3,7,0
351,2,4,3,3,2,5,10,3,5,10,9,5,1,10,3,6,0
352,1,4,0,6,0,7,7,4,4,7,6,8,0,8,0,8,0
353,1,3,2,2,1,8,7,3,5,10,5,7,2,8,3,9,0
354,3,4,5,2,2,8,9,3,5,13,4,3,1,10,3,8,0
355,11,14,10,8,4,6,8,3,7,9,8,10,6,8,4,6,0
356,4,5,5,4,2,5,8,5,8,10,8,8,3,9,3,5,0
357,3,8,4,6,2,7,7,14,2,5,6,8,5,8,0,8,0
358,4,11,6,8,1,7,11,2,3,8,12,8,1,11,0,8,0
359,3,5,5,6,4,8,8,4,4,7,6,8,3,7,8,8,0
360,8,15,7,8,4,8,5,4,9,11,4,10,3,6,9,9,0
361,4,5,4,7,4,9,7,6,2,8,6,11,3,9,6,8,0
362,1,0,1,0,0,8,7,2,9,8,6,8,0,8,5,8,0
363,4,5,5,6,5,7,9,5,4,8,6,7,4,9,8,7,0
364,8,10,11,8,8,9,6,2,5,9,6,7,8,6,2,8,0
365,4,7,5,5,2,5,7,10,9,7,6,5,3,8,4,8,0
366,2,3,3,1,1,8,9,3,4,10,4,6,4,9,1,7,0
367,5,10,8,8,5,3,10,3,3,9,10,9,8,11,1,8,0
368,4,9,4,6,4,7,5,13,5,7,10,8,3,9,0,8,0
369,6,11,8,9,6,6,6,7,5,5,6,12,5,7,5,6,0
370,7,11,9,8,11,8,5,4,3,6,5,10,8,7,9,13,0
371,5,10,4,5,3,7,7,5,4,7,4,7,5,8,5,8,1
372,2,6,3,4,1,8,6,13,5,7,13,8,3,9,0,8,0
373,6,10,8,8,8,6,7,5,3,7,5,8,5,7,10,8,0
374,4,8,6,6,3,4,8,5,1,7,9,8,8,10,0,8,0
375,5,7,7,5,5,5,7,2,6,10,8,11,3,8,3,8,0
376,5,11,4,6,2,9,6,4,6,10,5,9,1,10,7,9,0
377,3,6,5,4,1,9,8,4,2,5,14,8,3,10,0,8,0
378,8,12,8,7,6,9,6,3,5,9,4,8,6,8,6,8,0
379,4,11,5,8,5,9,6,6,10,7,5,6,2,7,8,8,0
380,4,10,6,7,4,7,8,3,7,10,5,7,2,6,5,8,0
381,3,6,5,4,5,7,8,3,3,8,7,8,5,9,5,4,0
382,5,11,8,8,4,5,8,2,8,10,11,9,3,9,4,6,0
383,3,6,4,4,2,5,7,3,7,7,6,12,0,8,4,9,0
384,1,2,2,3,1,8,7,4,1,7,8,10,2,9,3,9,0
385,10,15,9,8,4,7,9,4,5,3,5,10,6,10,2,7,0
386,5,7,5,5,3,6,7,6,8,12,8,12,2,10,4,7,0
